train_number,capture_file,section_id,origin_station,destination_station,origin_index,destination_index,status,timeline_station_count
12002,live_train_12002_04092026_20260904_124428.json,NDL-MTJ-01,NDLS,MTJ,0,21,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_124428.json,NDL-MTJ-02,NDLS,MTJ,0,21,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_124428.json,MTJ-AGC-01,MTJ,AGC,21,29,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_124428.json,AGC-GWL-01,AGC,GWL,29,42,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_124428.json,GWL-JHS-01,GWL,VGLJ,42,55,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_124428.json,JHS-BINA-01,VGLJ,BINA,55,73,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_124428.json,BINA-BPL-01,BINA,BPL,73,91,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_124428.json,BPL-RTM-01,BPL,,91,,ORIGIN_ONLY,93
12002,live_train_12002_04092026_20260904_162431.json,NDL-MTJ-01,NDLS,MTJ,0,21,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_162431.json,NDL-MTJ-02,NDLS,MTJ,0,21,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_162431.json,MTJ-AGC-01,MTJ,AGC,21,29,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_162431.json,AGC-GWL-01,AGC,GWL,29,42,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_162431.json,GWL-JHS-01,GWL,VGLJ,42,55,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_162431.json,JHS-BINA-01,VGLJ,BINA,55,73,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_162431.json,BINA-BPL-01,BINA,BPL,73,91,OBSERVED_ORDERED,93
12002,live_train_12002_04092026_20260904_162431.json,BPL-RTM-01,BPL,,91,,ORIGIN_ONLY,93
12301,live_train_12301_04092026_20260904_124022.json,NDL-MTJ-01,NDLS,,255,,ORIGIN_ONLY,256
12301,live_train_12301_04092026_20260904_124022.json,NDL-MTJ-02,NDLS,,255,,ORIGIN_ONLY,256
12301,live_train_12301_04092026_20260904_124259.json,NDL-MTJ-01,NDLS,,255,,ORIGIN_ONLY,256
12301,live_train_12301_04092026_20260904_124259.json,NDL-MTJ-02,NDLS,,255,,ORIGIN_ONLY,256
12301,live_train_12301_04092026_20260904_124424.json,NDL-MTJ-01,NDLS,,255,,ORIGIN_ONLY,256
12301,live_train_12301_04092026_20260904_124424.json,NDL-MTJ-02,NDLS,,255,,ORIGIN_ONLY,256
12904,live_train_12904_04092026_20260904_124425.json,NDL-MTJ-01,,MTJ,,94,DESTINATION_ONLY,278
12904,live_train_12904_04092026_20260904_124425.json,NDL-MTJ-02,,MTJ,,94,DESTINATION_ONLY,278
12904,live_train_12904_04092026_20260904_124425.json,MTJ-AGC-01,MTJ,,94,,ORIGIN_ONLY,278
12904,live_train_12904_04092026_20260904_124425.json,BPL-RTM-01,,RTM,,168,DESTINATION_ONLY,278
12904,live_train_12904_04092026_20260904_124425.json,RTM-VAD-01,RTM,BRC,168,203,OBSERVED_ORDERED,278
12904,live_train_12904_04092026_20260904_124425.json,VAD-SRT-01,BRC,ST,203,227,OBSERVED_ORDERED,278
12904,live_train_12904_04092026_20260904_124425.json,SRT-MUM-01,ST,,227,,ORIGIN_ONLY,278
20164,live_train_20164_04092026_20260904_162432.json,BINA-BPL-01,,BPL,,37,DESTINATION_ONLY,185
20164,live_train_20164_04092026_20260904_162432.json,BPL-RTM-01,BPL,RTM,37,75,OBSERVED_ORDERED,185
20164,live_train_20164_04092026_20260904_162432.json,RTM-VAD-01,RTM,BRC,75,110,OBSERVED_ORDERED,185
20164,live_train_20164_04092026_20260904_162432.json,VAD-SRT-01,BRC,ST,110,134,OBSERVED_ORDERED,185
20164,live_train_20164_04092026_20260904_162432.json,SRT-MUM-01,ST,,134,,ORIGIN_ONLY,185
22946,live_train_22946_04092026_20260904_162433.json,RTM-VAD-01,,BRC,,89,DESTINATION_ONLY,172
22946,live_train_22946_04092026_20260904_162433.json,VAD-SRT-01,BRC,ST,89,113,OBSERVED_ORDERED,172
22946,live_train_22946_04092026_20260904_162433.json,SRT-MUM-01,ST,MMCT,113,171,OBSERVED_ORDERED,172
